Department,School,SchType,SchLocation,Grade,NIVEAU2,NIVEAU3,NIVEAU4,NIVEAU5,NIVEAU6,Gender,PassRate,ExcellenceRate,Date,r1h,rfh,r3h,FluctMonth,FluctIntra,FluctTenDays,RainHistVol,HeavyRain,LowRain,ExtreFluctMonth,ExtreFluctIntra,Region,RegionCode,SchYear,IMR,District
SAN-PEDRO,EPP DEHOULINKE,0,0,CP2,1,0,0,0,0,1,0.6333333333333333,0.0,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,0.1050104151219109,District du Bas-Sassandra
SAN-PEDRO,EPP BARDOT CENTRE,0,1,CP2,1,0,0,0,0,1,0.8333333333333333,0.238095238095238,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,0.4748721537476394,District du Bas-Sassandra
SAN-PEDRO,EPP GBAROKE,0,0,CP1,0,0,0,0,0,1,1.0,0.4444444444444444,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,0.1050104151219109,District du Bas-Sassandra
SOUBRE,EPP GNIPI 2A,0,0,CP2,1,0,0,0,0,1,1.0,0.3676470588235294,2024-02-11,31.693548,23.616129,103.64515,0.2896692727491413,0.3127735414791679,0.8184674126737705,-0.5899838347245359,0.0,0.0,0.0,0.0,Nawa,CI26,2023-2024,1.057937515775623,District du Bas-Sassandra
KORHOGO,EPP DE GAMA,0,0,CP1,0,0,0,0,0,1,1.0,0.1551724137931034,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,0.6561651210930756,District des Savanes
KORHOGO,EPP 2 DE NAHOUOKAHA ,0,0,CP1,0,0,0,0,0,0,0.7241379310344828,0.0,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,1.272321538582826,District des Savanes
KORHOGO,EPP DE FEGUERE,0,0,CP2,1,0,0,0,0,0,0.4722222222222222,0.4722222222222222,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,1.21353714425063,District des Savanes
BOUNDIALI,EPP IRIBASSO,0,0,CP1,0,0,0,0,0,1,0.25,0.0,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.6660139135889893,District des Savanes
SAN-PEDRO,EPC PROTESTANTE EVANGELIQUE,1,1,CP2,1,0,0,0,0,1,0.675,0.3,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,1.04853786040085,District du Bas-Sassandra
BOUNDIALI,EPP BAD KOUTO,0,1,CP1,0,0,0,0,0,1,0.72,0.42,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.1592165986557358,District des Savanes
BOUAFLE,EPP LA PAIX 1,0,0,CP2,1,0,0,0,0,0,0.5652173913043478,0.108695652173913,2024-02-11,16.636017,10.862069,35.45977,0.4785813214785727,0.2534546009420403,0.6920634825648778,-0.8516050829775494,0.0,0.0,0.0,0.0,Marahoue,CI23,2023-2024,1.89468536192498,District du Sassandra-Marahoué
BOUNDIALI,EPP FARANDOUGOU,0,0,CP1,0,0,0,0,0,0,1.0,0.7419354838709677,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.5346137946046875,District des Savanes
BOUNDIALI,EPP BAYA 2,0,1,CP2,1,0,0,0,0,0,1.0,0.6153846153846154,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.0594514028678149,District des Savanes
KORHOGO,EPP DE KARTCHOUAKAHA,0,0,CP2,1,0,0,0,0,1,1.0,0.2,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,0.6561651210930756,District des Savanes
SAN-PEDRO,EPP DJAPAGUI 2,0,0,CP2,1,0,0,0,0,1,0.2222222222222222,0.0,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,1.473397533871233,District du Bas-Sassandra
